singular,plural,merged
conformally flat spacetime,conformally flat spacetimes,conformally flat spacetime(s)
truth table,truth tables,truth table(s)
isometric embedding,isometric embeddings,isometric embedding(s)
finsler manifold,finsler manifolds,finsler manifold(s)
dual quaternion,dual quaternions,dual quaternion(s)
strict saddle,strict saddles,strict saddle(s)
resummation technique,resummation techniques,resummation technique(s)
optimal regret guarantee,optimal regret guarantees,optimal regret guarantee(s)
graph autoencoder,graph autoencoders,graph autoencoder(s)
ultrasound imaging modality,ultrasound imaging modalities,ultrasound imaging modality(ies)
smbh mass,smbh masses,smbh mass(es)
gaussian process gp prior,gaussian process gp priors,gaussian process gp prior(s)
kadomtsev petviashvili kp equation,kadomtsev petviashvili kp equations,kadomtsev petviashvili kp equation(s)
nonorientable surface,nonorientable surfaces,nonorientable surface(s)
ionizing source,ionizing sources,ionizing source(s)
heralded single photon,heralded single photons,heralded single photon(s)
frictional force,frictional forces,frictional force(s)
gas giant planet,gas giant planets,gas giant planet(s)
living adl,living adls,living adl(s)
hybrid quantum circuit,hybrid quantum circuits,hybrid quantum circuit(s)
repetition code,repetition codes,repetition code(s)
remarkable similarity,remarkable similarities,remarkable similarity(ies)
quadric hypersurface,quadric hypersurfaces,quadric hypersurface(s)
hubbard chain,hubbard chains,hubbard chain(s)
nontrivial lower bound,nontrivial lower bounds,nontrivial lower bound(s)
brain computer interfaces bci,brain computer interfaces bcis,brain computer interfaces bci(s)
operator product state,operator product states,operator product state(s)
expected reward function,expected reward functions,expected reward function(s)
running time step,running time steps,running time step(s)
contrastive learning paradigm,contrastive learning paradigms,contrastive learning paradigm(s)
web site,web sites,web site(s)
tunneling rate,tunneling rates,tunneling rate(s)
inductive invariant,inductive invariants,inductive invariant(s)
elliptical orbit,elliptical orbits,elliptical orbit(s)
nn controller,nn controllers,nn controller(s)
generic feature representation,generic feature representations,generic feature representation(s)
eventually reach,eventually reaches,eventually reach(es)
dramatically enhance,dramatically enhances,dramatically enhance(s)
levy process,levy processes,levy process(es)
exterior power,exterior powers,exterior power(s)
double differential cross section,double differential cross sections,double differential cross section(s)
phase transition metal oxide,phase transition metal oxides,phase transition metal oxide(s)
risk minimization problem,risk minimization problems,risk minimization problem(s)
lightest neutrino mass,lightest neutrino masses,lightest neutrino mass(es)
flrw cosmology,flrw cosmologies,flrw cosmology(ies)
under uncertainty relation,under uncertainty relations,under uncertainty relation(s)
clifford gate,clifford gates,clifford gate(s)
radial velocity distribution,radial velocity distributions,radial velocity distribution(s)
diffusion monte carlo simulation,diffusion monte carlo simulations,diffusion monte carlo simulation(s)
resistor network,resistor networks,resistor network(s)
organizing principle,organizing principles,organizing principle(s)
specific star formation rate,specific star formation rates,specific star formation rate(s)
discrete valuation ring,discrete valuation rings,discrete valuation ring(s)
joint training set,joint training sets,joint training set(s)
quantum jump,quantum jumps,quantum jump(s)
magnetised plasma,magnetised plasmas,magnetised plasma(s)
serious game,serious games,serious game(s)
source shortest path,source shortest paths,source shortest path(s)
telecommunication wavelength,telecommunication wavelengths,telecommunication wavelength(s)
abstract syntax tree,abstract syntax trees,abstract syntax tree(s)
polylogarithmic factor,polylogarithmic factors,polylogarithmic factor(s)
layer graphene sheet,layer graphene sheets,layer graphene sheet(s)
partial occlusion,partial occlusions,partial occlusion(s)
alloy thin film,alloy thin films,alloy thin film(s)
skyrmion crystal,skyrmion crystals,skyrmion crystal(s)
link failure,link failures,link failure(s)
hierarchical variational autoencoder,hierarchical variational autoencoders,hierarchical variational autoencoder(s)
functional form factor,functional form factors,functional form factor(s)
proto cluster,proto clusters,proto cluster(s)
separability condition,separability conditions,separability condition(s)
qkd protocol,qkd protocols,qkd protocol(s)
excellent laboratory,excellent laboratories,excellent laboratory(ies)
ferroelectric oxide,ferroelectric oxides,ferroelectric oxide(s)
complex semisimple lie algebra,complex semisimple lie algebras,complex semisimple lie algebra(s)
proximity operator,proximity operators,proximity operator(s)
correlation length scale,correlation length scales,correlation length scale(s)
parallel computation cost,parallel computation costs,parallel computation cost(s)
significant reduction technique,significant reduction techniques,significant reduction technique(s)
schr odinger bridge,schr odinger bridges,schr odinger bridge(s)
ultra low temperature,ultra low temperatures,ultra low temperature(s)
signal processing unit,signal processing units,signal processing unit(s)
processing inequality,processing inequalities,processing inequality(ies)
sensor modality,sensor modalities,sensor modality(ies)
inelastic scattering cross section,inelastic scattering cross sections,inelastic scattering cross section(s)
star formation rates sfr,star formation rates sfrs,star formation rates sfr(s)
characteristic timescale,characteristic timescales,characteristic timescale(s)
bit width,bit widths,bit width(s)
time delay line,time delay lines,time delay line(s)
uniform grid,uniform grids,uniform grid(s)
three main ingredient,three main ingredients,three main ingredient(s)
static analyzer,static analyzers,static analyzer(s)
subdiffusion equation,subdiffusion equations,subdiffusion equation(s)
path integral field theory,path integral field theories,path integral field theory(ies)
librispeech dataset,librispeech datasets,librispeech dataset(s)
severely restrict,severely restricts,severely restrict(s)
equatorial region,equatorial regions,equatorial region(s)
minimax lower bound,minimax lower bounds,minimax lower bound(s)
cdw phase,cdw phases,cdw phase(s)
orthogonal pilot,orthogonal pilots,orthogonal pilot(s)
nuscenes dataset,nuscenes datasets,nuscenes dataset(s)
photometric data set,photometric data sets,photometric data set(s)
pipe flow,pipe flows,pipe flow(s)
credible interval,credible intervals,credible interval(s)
gamma ray binary,gamma ray binaries,gamma ray binary(ies)
sharp isoperimetric inequality,sharp isoperimetric inequalities,sharp isoperimetric inequality(ies)
noun phrase,noun phrases,noun phrase(s)
pulsation mode,pulsation modes,pulsation mode(s)
asymptotic profile,asymptotic profiles,asymptotic profile(s)
head movement,head movements,head movement(s)
heat map,heat maps,heat map(s)
barred galaxy,barred galaxies,barred galaxy(ies)
electrocardiogram ecg signal,electrocardiogram ecg signals,electrocardiogram ecg signal(s)
fano manifold,fano manifolds,fano manifold(s)
captioning system,captioning systems,captioning system(s)
convolution neural network architecture,convolution neural network architectures,convolution neural network architecture(s)
preconditioning technique,preconditioning techniques,preconditioning technique(s)
elliptic fibration,elliptic fibrations,elliptic fibration(s)
electro optic modulator,electro optic modulators,electro optic modulator(s)
variance reduction technique,variance reduction techniques,variance reduction technique(s)
strain gradient,strain gradients,strain gradient(s)
lie groupoid,lie groupoids,lie groupoid(s)
medical professional,medical professionals,medical professional(s)
compliant mechanism,compliant mechanisms,compliant mechanism(s)
interspecies interaction,interspecies interactions,interspecies interaction(s)
radiative lifetime,radiative lifetimes,radiative lifetime(s)
comprehensive evaluation metric,comprehensive evaluation metrics,comprehensive evaluation metric(s)
polish group,polish groups,polish group(s)
nonclassical correlation,nonclassical correlations,nonclassical correlation(s)
deep convolutional autoencoder,deep convolutional autoencoders,deep convolutional autoencoder(s)
